                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
 40662.000,   1,  0.36967360E+11,   0.00000000E+00,  -0.37392548E+11,   0.00000000E+00,   0.00000000E+00,   0.44600911E+09,   0.00000000E+00,   0.00000000E+00,   0.29017892E-08,
 40662.999,   1,  0.37277875E+11,   0.00000000E+00,  -0.37715340E+11,   0.00000000E+00,   0.00000000E+00,   0.45929124E+09,   0.00000000E+00,   0.00000000E+00,   0.24167624E-08,
 40663.999,   1,  0.37599768E+11,   0.00000000E+00,  -0.38033611E+11,   0.00000000E+00,   0.00000000E+00,   0.45184455E+09,   0.00000000E+00,   0.00000000E+00,  -0.10896564E-08,
 40665.000,   1,  0.37915545E+11,   0.00000000E+00,  -0.38363319E+11,   0.00000000E+00,   0.00000000E+00,   0.46744556E+09,   0.00000000E+00,   0.00000000E+00,  -0.92028922E-09,
 40665.999,   1,  0.38230472E+11,   0.00000000E+00,  -0.38697278E+11,   0.00000000E+00,   0.00000000E+00,   0.49033525E+09,   0.00000000E+00,   0.00000000E+00,   0.16421604E-08,
 40666.999,   1,  0.38567114E+11,   0.00000000E+00,  -0.39025141E+11,   0.00000000E+00,   0.00000000E+00,   0.47778871E+09,   0.00000000E+00,   0.00000000E+00,   0.25869864E-08,
 40668.000,   1,  0.38891421E+11,   0.00000000E+00,  -0.39350858E+11,   0.00000000E+00,   0.00000000E+00,   0.47910157E+09,   0.00000000E+00,   0.00000000E+00,   0.18961382E-08,
 40669.000,   1,  0.39196018E+11,   0.00000000E+00,  -0.39666109E+11,   0.00000000E+00,   0.00000000E+00,   0.48836856E+09,   0.00000000E+00,   0.00000000E+00,   0.87481575E-09,
 40670.000,   1,  0.39498725E+11,   0.00000000E+00,  -0.39987077E+11,   0.00000000E+00,   0.00000000E+00,   0.50457740E+09,   0.00000000E+00,   0.00000000E+00,  -0.26943389E-08,
 40670.999,   1,  0.39816529E+11,   0.00000000E+00,  -0.40323013E+11,   0.00000000E+00,   0.00000000E+00,   0.52352983E+09,   0.00000000E+00,   0.00000000E+00,   0.48741735E-09,
